destSlug,fieldPath,oldUrl,newUrl,confidence,provider,dryRun,appliedAt
kanatal,gallery[0],https://images.pexels.com/photos/16871285/pexels-photo-16871285.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1588305665522-1c6af1f69b09?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8S2FuYXRhbCUyMFV0dGFyYWtoYW5kJTIwSW5kaWElMjB0cmF2ZWx8ZW58MHwwfHx8MTc4NzAwMzQ2NXww&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:17:47.327Z
kanatal,topPlaces[1].photos[0],https://images.pexels.com/photos/9290337/pexels-photo-9290337.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1737739661164-17c46362641f?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8VGVocmklMjBMYWtlJTIwVXR0YXJha2hhbmQlMjBJbmRpYXxlbnwwfDB8fHwxNzg3MDc0MzUwfDA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:17:49.085Z
kanatal,topPlaces[1].photos[1],https://images.pexels.com/photos/8055260/pexels-photo-8055260.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/9290337/pexels-photo-9290337.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,98,pexels,no,2026-08-18T18:17:49.108Z
kanatal,topPlaces[1].photos[2],https://images.pexels.com/photos/1036914/pexels-photo-1036914.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/8055260/pexels-photo-8055260.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,98,pexels,no,2026-08-18T18:17:49.132Z
kanatal,topPlaces[3].image,https://images.pexels.com/photos/34121475/pexels-photo-34121475.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1689676452888-c9ccc1896e96?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8MXx8RGhhbmF1bHRpJTIwVXR0YXJha2hhbmQlMjBJbmRpYXxlbnwwfDB8fHwxNzg3MDc0MzU0fDA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:17:50.899Z
kanatal,topPlaces[3].photos[2],https://images.pexels.com/photos/13353126/pexels-photo-13353126.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.unsplash.com/photo-1689676474552-3c5df0ec6b56?crop=entropy&cs=srgb&fm=jpg&ixid=M3wxMDMzNjUxfDB8MXxzZWFyY2h8Mnx8RGhhbmF1bHRpJTIwVXR0YXJha2hhbmQlMjBJbmRpYXxlbnwwfDB8fHwxNzg3MDc0MzU0fDA&ixlib=rb-4.1.0&q=85,100,unsplash,no,2026-08-18T18:17:50.923Z
kanatal,topPlaces[4].image,https://images.pexels.com/photos/36908034/pexels-photo-36908034.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/36908034/pexels-photo-36908034.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,98,pexels,no,2026-08-18T18:17:53.259Z
kanatal,topPlaces[4].photos[1],https://images.pexels.com/photos/33753775/pexels-photo-33753775.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/13353126/pexels-photo-13353126.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,98,pexels,no,2026-08-18T18:17:53.283Z
kanatal,topPlaces[4].photos[2],https://images.pexels.com/photos/19010046/pexels-photo-19010046.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/33753775/pexels-photo-33753775.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,98,pexels,no,2026-08-18T18:17:53.309Z
kanatal,topPlaces[5].photos[2],https://images.pexels.com/photos/23534120/pexels-photo-23534120.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/23534120/pexels-photo-23534120.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,98,pexels,no,2026-08-18T18:17:55.530Z
