destSlug,fieldPath,url,validationStatus,validationLevel,httpStatus,mimeType,width,height,perceptualHash,lastChecked,notes
grizzled-squirrel-wildlife-sanctuary,gallery[2],https://upload.wikimedia.org/wikipedia/commons/a/a7/Shenbagathoppu7.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:47:30.058Z,
simhachalam-temple,topPlaces[5].photos[2],https://upload.wikimedia.org/wikipedia/commons/b/b6/Starting_point_of_Madhavadhara_water_jet.JPG,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T20:46:43.536Z,
amboli,gallery[1],https://upload.wikimedia.org/wikipedia/commons/4/45/Amboli_Bus_Stand.JPG,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:29:40.302Z,
daan-ghati,topPlaces[5].photos[1],https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Radha_Kund_2.jpg/1280px-Radha_Kund_2.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T22:03:03.303Z,
kiradu-temples,topPlaces[0].photos[2],https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Hathi_Derasar%2C_Vadnagar_1.jpg/1280px-Hathi_Derasar%2C_Vadnagar_1.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:43:12.838Z,
dimapur-kalibari,topPlaces[3].photos[1],https://upload.wikimedia.org/wikipedia/commons/a/af/Samavsaran_at_Jain_Temple_Dimapur.JPG,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:37:40.776Z,
dubdi-monastery,topPlaces[6].photos[2],https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Statue_of_Chenrezig_%2851957069774%29.jpg/1280px-Statue_of_Chenrezig_%2851957069774%29.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:45:08.632Z,
dhanushkodi,topPlaces[5].photos[2],https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Rameswaram_harbour.jpg/1280px-Rameswaram_harbour.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T22:09:58.165Z,
trivikrama-temple,gallery[1],https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/0101821_Trivikrama_Temple%2C_Pipriyapeth%2C_Ramtek_Maharashtra_007.jpg/1280px-0101821_Trivikrama_Temple%2C_Pipriyapeth%2C_Ramtek_Maharashtra_007.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:33:49.309Z,
aridwaramangalam-padaleswarar-temple,topPlaces[6].photos[1],https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Venni_Karumbeswarar_Sculpture.jpg/1280px-Venni_Karumbeswarar_Sculpture.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:56:30.587Z,
ramapuram-church,topPlaces[6].photos[2],https://upload.wikimedia.org/wikipedia/commons/a/a0/Sahskuninji.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:22:32.854Z,
gokarnanatheshwara-temple,gallery[2],https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Kudroli-gokarnatha-temple-panorama.jpg/1280px-Kudroli-gokarnatha-temple-panorama.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:06:09.453Z,
jangali-jayagad,topPlaces[6].photos[1],https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Bamnoli%2CMaharashtra%2C_India.jpg/1280px-Bamnoli%2CMaharashtra%2C_India.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:34:38.437Z,
khangchendzonga-national-park,gallery[3],https://upload.wikimedia.org/wikipedia/commons/9/9b/Green_Shrike_Babbler_Khangchendzonga_National_Park_West_Sikkim_Sikkim_India_30.10.2015.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:44:43.485Z,
kasu-brahmananda-reddy-national-park,topPlaces[0].photos[2],https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/PJR_Statue_opposite_to_Peddamma_temple.jpg/1280px-PJR_Statue_opposite_to_Peddamma_temple.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:58:00.608Z,
shree-brahma-baidarkala-garadi-kshetra,topPlaces[0].photos[2],https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Dakshina_Kannada_mountain_pass_11.jpg/1280px-Dakshina_Kannada_mountain_pass_11.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:11:24.748Z,
bargabhima-temple,hotels[0].image,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Pathasathi_Hotel_And_Restaurant_-_National_Highway_2_-_Bud_Bud_-_Burdwan_-_2017-10-21_5099.JPG/960px-Pathasathi_Hotel_And_Restaurant_-_National_Highway_2_-_Bud_Bud_-_Burdwan_-_2017-10-21_5099.JPG,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T22:06:45.886Z,
tapkeshwar-temple,topPlaces[7].photos[2],https://upload.wikimedia.org/wikipedia/commons/8/8d/The-Abode-at-Uttara-Museum-of-Contemporary-Art.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T22:04:16.785Z,
gulmarg-wildlife-sanctuary,topPlaces[4].photos[2],https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Tourists_from_West_Bengal_in_Gulmarg%2C_Jammu_and_Kashmir.jpg/1280px-Tourists_from_West_Bengal_in_Gulmarg%2C_Jammu_and_Kashmir.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:02:10.366Z,
vishnupad-temple-gaya,topPlaces[1].photos[2],https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Great_Buddha_statue_at_Bodh_Gaya%2C_Bihar%2C_India.jpg/1280px-Great_Buddha_statue_at_Bodh_Gaya%2C_Bihar%2C_India.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T20:51:31.557Z,
wargal-saraswati-temple,gallery[4],https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Sri_Vargal_Vidya_Saraswathi_Shaneschara_Temples_6.jpg/1280px-Sri_Vargal_Vidya_Saraswathi_Shaneschara_Temples_6.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:58:34.266Z,
kalhatty-falls,topPlaces[0].photos[1],https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Fields_Akoni_Nilgiris_Tamil_Nadu_Nov24_A7CR_05287.jpg/1280px-Fields_Akoni_Nilgiris_Tamil_Nadu_Nov24_A7CR_05287.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:53:59.582Z,
sahastra-bahu-temples,topPlaces[1].photos[2],https://upload.wikimedia.org/wikipedia/commons/6/67/The_MLA_Sanour_and_former_Punjab_Cabinet_Minister%2C_Shri_Lal_Singh_addressing_at_the_Bharat_Nirman_Public_Information_Campaign%2C_organized_by_Press_Information_Bureau%2C_at_Devigarh%2C_in_Patiala_on_February_07%2C_2013.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:43:20.577Z,
changthang-wildlife-sanctuary,gallery[3],https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Kalak_Tar_tar_plateau_in_Ladakh.jpg/1280px-Kalak_Tar_tar_plateau_in_Ladakh.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:25:49.698Z,
eco-park,topPlaces[2].photos[2],https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/021_-_Khuni_-_01.jpg/1280px-021_-_Khuni_-_01.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T22:07:11.310Z,
rajbari-national-park,topPlaces[3].photos[1],https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Nidaya_Ghat_at_Nabadwip_4.jpg/1280px-Nidaya_Ghat_at_Nabadwip_4.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T22:00:15.233Z,
taragarh-fort,gallery[3],https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Taragarh_fort_view.jpg/1280px-Taragarh_fort_view.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:42:47.421Z,
palaruvi-falls,topPlaces[1].photos[1],https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Aryankavu_hill_view.jpg/1280px-Aryankavu_hill_view.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:12:13.991Z,
rehala-falls,topPlaces[5].photos[1],https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Bhrigu_Lake_by_Ahmad_Faiz_Mustafa_%281%29.jpg/1280px-Bhrigu_Lake_by_Ahmad_Faiz_Mustafa_%281%29.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:00:30.606Z,
veerangana-durgavati-wildlife-sanctuary,gallery[2],https://upload.wikimedia.org/wikipedia/commons/7/7c/Rani_Durgavati_1988_stamp_of_India.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:27:45.471Z,
camp-hanuman-temple,topPlaces[7].photos[1],https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Ivanovo_Calico_Museum_-_Electrification.jpg/1280px-Ivanovo_Calico_Museum_-_Electrification.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T20:57:20.123Z,
gwalior,topPlaces[0].photos[2],https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Gwalior_cannon.jpg/1280px-Gwalior_cannon.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T22:20:48.786Z,
sri-devaadi-raja-perumal-temple,gallery[2],https://upload.wikimedia.org/wikipedia/commons/6/63/Teralundur_amaruviappan_temple3.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:48:53.484Z,
sanctuary-falls,topPlaces[7].photos[1],https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Windsor_Forest_-_Pope_%281720%29.djvu/page1-1280px-Windsor_Forest_-_Pope_%281720%29.djvu.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:37:49.400Z,
iranikulam-mahadeva-temple,gallery[2],https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/09222022_Mahadeva_temple%2C_Iranikulam_Kerala_220.jpg/1280px-09222022_Mahadeva_temple%2C_Iranikulam_Kerala_220.jpg,broken,2,429,text/html; charset=utf-8,,,,2026-08-17T21:17:14.496Z,
