slug,title,state,region,type,badge,rating,reviewCount,minPrice,lat,lng
kanatal,"Kanatal",Uttarakhand,Garhwal Himalayas,hill_station,Hidden Gem,4.6,2847,500,30.4133,78.2778
manali,"Manali",Himachal Pradesh,Kullu Valley,hill_station,Trending,4.7,18420,400,32.2432,77.1892
goa,"Goa",Goa,Konkan Coast,beach,All Year,4.5,42000,400,15.2993,74.124
coorg,"Coorg",Karnataka,Western Ghats,hill_station,Coffee Capital,4.5,11200,600,12.3375,75.8069
udaipur,"Udaipur",Rajasthan,Mewar,heritage,City of Lakes,4.7,28000,400,24.5854,73.7125
rishikesh,"Rishikesh",Uttarakhand,Garhwal Himalayas,spiritual,Yoga Capital,4.6,19500,350,30.0869,78.2676
darjeeling,"Darjeeling",West Bengal,Eastern Himalayas,hill_station,Tea Paradise,4.6,14200,500,27.036,88.2627
munnar,"Munnar",Kerala,Western Ghats,hill_station,Tea Hills,4.6,16800,600,10.0889,77.0595
ladakh,"Ladakh",Ladakh,Trans-Himalayas,adventure,Top of the World,4.9,32000,400,34.1526,77.5771
hampi,"Hampi",Karnataka,Northern Karnataka,heritage,UNESCO,4.7,21000,400,15.335,76.46
ooty,"Ooty",Tamil Nadu,Nilgiri Hills,hill_station,Nilgiris Queen,4.4,22000,400,11.4102,76.695
varanasi,"Varanasi",Uttar Pradesh,Gangetic Plains,spiritual,Eternal City,4.5,28000,350,25.3176,82.9739
spiti,"Spiti Valley",Himachal Pradesh,Trans-Himalayas,adventure,Offbeat,4.8,8400,700,32.2461,78.0335
jaisalmer,"Jaisalmer",Rajasthan,Thar Desert,heritage,Golden City,4.6,17000,500,26.9157,70.9083
mcleodganj,"McLeod Ganj",Himachal Pradesh,Kangra Valley,spiritual,Little Lhasa,4.5,12000,400,32.2396,76.3217
varkala,"Varkala",Kerala,Kerala Coast,beach,Cliff Beach,4.5,8900,500,8.7379,76.7163
kaziranga,"Kaziranga",Assam,Brahmaputra Valley,wildlife,Rhino Paradise,4.8,9800,600,26.578,93.17
rann-of-kutch,"Rann of Kutch",Gujarat,Kutch Desert,adventure,White Desert,4.6,11200,600,23.7337,70.8022
jaipur,"Jaipur",Rajasthan,Aravalli Plains,heritage,Popular,4.6,52000,900,26.9124,75.7873
jodhpur,"Jodhpur",Rajasthan,Marwar,heritage,Popular,4.6,31000,900,26.2389,73.0243
pushkar,"Pushkar",Rajasthan,Ajmer,spiritual,Popular,4.4,18000,900,26.4899,74.5511
mount-abu,"Mount Abu",Rajasthan,Aravalli Range,hill_station,Popular,4.4,21000,1000,24.5926,72.7156
ranthambore,"Ranthambore",Rajasthan,Sawai Madhopur,wildlife,Popular,4.6,24000,2500,26.0173,76.5026
bikaner,"Bikaner",Rajasthan,Thar Desert,heritage,Popular,4.3,12000,900,28.0229,73.3119
nainital,"Nainital",Uttarakhand,Kumaon,hill_station,Popular,4.4,38000,1200,29.3919,79.4542
mussoorie,"Mussoorie",Uttarakhand,Garhwal,hill_station,Popular,4.4,41000,1300,30.4598,78.0644
auli,"Auli",Uttarakhand,Garhwal,adventure,Popular,4.6,9000,2000,30.53,79.566
jim-corbett,"Jim Corbett",Uttarakhand,Nainital,wildlife,Popular,4.5,29000,2500,29.53,78.7747
haridwar,"Haridwar",Uttarakhand,Ganga Plains,spiritual,Popular,4.5,40000,900,29.9457,78.1642
lansdowne,"Lansdowne",Uttarakhand,Garhwal,hill_station,Popular,4.3,9000,1500,29.8377,78.681
ranikhet,"Ranikhet",Uttarakhand,Kumaon,hill_station,Popular,4.3,8000,1400,29.6434,79.4322
chopta,"Chopta",Uttarakhand,Garhwal,hill_station,Popular,4.6,7000,1200,30.49,79.15
munsiyari,"Munsiyari",Uttarakhand,Pithoragarh,hill_station,Popular,4.5,4000,1300,30.067,80.238
shimla,"Shimla",Himachal Pradesh,Lower Himalayas,hill_station,Popular,4.4,55000,1300,31.1048,77.1734
dalhousie,"Dalhousie",Himachal Pradesh,Chamba,hill_station,Popular,4.3,17000,1300,32.5387,75.9707
khajjiar,"Khajjiar",Himachal Pradesh,Chamba,hill_station,Popular,4.4,11000,1400,32.5489,76.0636
kasol,"Kasol",Himachal Pradesh,Parvati Valley,adventure,Popular,4.5,22000,900,32.0099,77.3152
bir-billing,"Bir Billing",Himachal Pradesh,Kangra,adventure,Popular,4.6,12000,1000,32.042,76.718
chitkul,"Chitkul",Himachal Pradesh,Kinnaur,hill_station,Popular,4.6,5000,1200,31.352,78.436
kalpa,"Kalpa",Himachal Pradesh,Kinnaur,hill_station,Popular,4.5,4500,1200,31.536,78.257
srinagar,"Srinagar",Jammu & Kashmir,Kashmir Valley,hill_station,Popular,4.6,46000,1500,34.0837,74.7973
gulmarg,"Gulmarg",Jammu & Kashmir,Kashmir Valley,adventure,Popular,4.7,28000,2000,34.0484,74.3805
pahalgam,"Pahalgam",Jammu & Kashmir,Anantnag,hill_station,Popular,4.6,21000,1800,34.0161,75.315
sonamarg,"Sonamarg",Jammu & Kashmir,Ganderbal,hill_station,Popular,4.5,14000,1800,34.3,75.29
patnitop,"Patnitop",Jammu & Kashmir,Udhampur,hill_station,Popular,4.2,9000,1300,33.085,75.3318
gangtok,"Gangtok",Sikkim,East Sikkim,hill_station,Popular,4.6,33000,1500,27.3389,88.6065
pelling,"Pelling",Sikkim,West Sikkim,hill_station,Popular,4.5,12000,1400,27.29,88.24
lachung,"Lachung",Sikkim,North Sikkim,hill_station,Popular,4.6,7000,2000,27.69,88.74
shillong,"Shillong",Meghalaya,Khasi Hills,hill_station,Popular,4.5,27000,1300,25.5788,91.8933
cherrapunji,"Cherrapunji",Meghalaya,Khasi Hills,hill_station,Popular,4.5,16000,1300,25.2841,91.7216
ziro,"Ziro",Arunachal Pradesh,Lower Subansiri,hill_station,Popular,4.5,5000,1400,27.5447,93.82
tawang,"Tawang",Arunachal Pradesh,West Kameng,hill_station,Popular,4.6,6000,1600,27.586,91.859
kohima,"Kohima",Nagaland,Naga Hills,hill_station,Popular,4.4,7000,1400,25.6751,94.1086
majuli,"Majuli",Assam,Brahmaputra,heritage,Popular,4.4,5000,1000,26.95,94.17
mysore,"Mysore",Karnataka,Deccan Plateau,heritage,Popular,4.6,38000,1000,12.2958,76.6394
chikmagalur,"Chikmagalur",Karnataka,Western Ghats,hill_station,Popular,4.5,16000,1200,13.3161,75.772
gokarna,"Gokarna",Karnataka,Konkan Coast,beach,Popular,4.5,19000,900,14.5479,74.3188
badami,"Badami",Karnataka,Bagalkot,heritage,Popular,4.4,7000,900,15.9149,75.677
bandipur,"Bandipur",Karnataka,Chamarajanagar,wildlife,Popular,4.5,11000,2500,11.67,76.63
wayanad,"Wayanad",Kerala,Western Ghats,hill_station,Popular,4.5,21000,1200,11.6854,76.132
alleppey,"Alleppey",Kerala,Backwaters,beach,Popular,4.6,33000,1500,9.4981,76.3388
kochi,"Kochi",Kerala,Malabar Coast,heritage,Popular,4.5,41000,1200,9.9312,76.2673
thekkady,"Thekkady",Kerala,Idukki,wildlife,Popular,4.5,18000,1500,9.5916,77.1603
kovalam,"Kovalam",Kerala,Thiruvananthapuram,beach,Popular,4.4,24000,1200,8.4004,76.9787
kumarakom,"Kumarakom",Kerala,Backwaters,beach,Popular,4.5,15000,1800,9.6175,76.43
pondicherry,"Pondicherry",Puducherry,Coromandel Coast,beach,Popular,4.5,35000,1200,11.9416,79.8083
kodaikanal,"Kodaikanal",Tamil Nadu,Palani Hills,hill_station,Popular,4.5,29000,1300,10.2381,77.4892
mahabalipuram,"Mahabalipuram",Tamil Nadu,Coromandel Coast,heritage,Popular,4.6,22000,1000,12.6269,80.1927
madurai,"Madurai",Tamil Nadu,Vaigai Plains,spiritual,Popular,4.6,28000,900,9.9252,78.1198
rameshwaram,"Rameshwaram",Tamil Nadu,Pamban Island,spiritual,Popular,4.6,21000,900,9.2876,79.3129
