region,slug,title,state,type,rating,minPrice
Ajmer,pushkar,"Pushkar",Rajasthan,spiritual,4.4,900
Anantnag,pahalgam,"Pahalgam",Jammu & Kashmir,hill_station,4.6,1800
Andaman & Nicobar,galathea-national-park,"Galathea National Park",Andaman & Nicobar,wildlife,4.7,2500
Andaman & Nicobar,mount-manipur-national-park,"Mount Manipur National Park",Andaman & Nicobar,wildlife,4.4,2500
Andaman & Nicobar,saddle-peak-national-park,"Saddle Peak National Park",Andaman & Nicobar,wildlife,4.6,2500
Andaman & Nicobar,south-button-island-national-park,"South Button Island National Park",Andaman & Nicobar,wildlife,4.1,2500
Andaman & Nicobar,sri-vetrimalai-murugan-temple,"Sri Vetrimalai Murugan Temple",Andaman & Nicobar,spiritual,4.4,900
Andaman & Nicobar,kwangtung-island-wildlife-sanctuary,"Kwangtung Island Wildlife Sanctuary",Andaman & Nicobar,wildlife,4.5,2500
Andaman & Nicobar,bamboo-island-wildlife-sanctuary,"Bamboo Island Wildlife Sanctuary",Andaman & Nicobar,wildlife,4.3,2500
Andhra Pradesh,tirumala-venkateswara-temple,"Tirumala Venkateswara Temple",Andhra Pradesh,spiritual,4.5,900
Andhra Pradesh,belum-caves,"Belum Caves",Andhra Pradesh,heritage,4.5,900
Andhra Pradesh,mallikarjuna-temple,"Mallikarjuna Temple",Andhra Pradesh,spiritual,4.7,900
Andhra Pradesh,simhachalam-temple,"Simhachalam Temple",Andhra Pradesh,spiritual,4.2,900
Andhra Pradesh,kanaka-durga-temple,"Kanaka Durga Temple",Andhra Pradesh,spiritual,4.4,900
Andhra Pradesh,srikalahasti-temple,"Srikalahasti Temple",Andhra Pradesh,spiritual,4.2,900
Andhra Pradesh,veerabhadra-temple,"Veerabhadra Temple",Andhra Pradesh,spiritual,4.3,900
Andhra Pradesh,arasavalli-sun-temple,"Arasavalli Sun Temple",Andhra Pradesh,spiritual,4.2,900
Andhra Pradesh,ethipothala-falls,"Ethipothala Falls",Andhra Pradesh,heritage,4.3,900
Andhra Pradesh,ramakrishna-mission-beach,"Ramakrishna Mission Beach",Andhra Pradesh,beach,4.7,1200
Andhra Pradesh,konda-reddy-fort,"Konda Reddy Fort",Andhra Pradesh,heritage,4.3,900
Andhra Pradesh,yaganti-temple,"Yaganti Temple",Andhra Pradesh,spiritual,4.6,900
Andhra Pradesh,sri-kodandrama-swamy-temple-vontimitta,"Sri Kodandrama Swamy Temple, Vontimitta",Andhra Pradesh,spiritual,4.6,900
Andhra Pradesh,papikonda-national-park,"Papikonda National Park",Andhra Pradesh,wildlife,4.1,2500
Andhra Pradesh,rushikonda-beach,"Rushikonda Beach",Andhra Pradesh,beach,4.3,1200
Andhra Pradesh,kondaveedu-fort,"Kondaveedu Fort",Andhra Pradesh,heritage,4.5,900
Andhra Pradesh,kondapalli-fort,"Kondapalli Fort",Andhra Pradesh,heritage,4.6,900
Andhra Pradesh,kanipakam-vinayaka-temple,"Kanipakam Vinayaka Temple",Andhra Pradesh,spiritual,4.8,900
Andhra Pradesh,somarama,"Somarama",Andhra Pradesh,spiritual,4.3,900
Andhra Pradesh,mogalrajapuram-caves,"Mogalrajapuram caves",Andhra Pradesh,spiritual,4.4,900
