type,slug,title,state,rating,minPrice
adventure,ladakh,"Ladakh",Ladakh,4.9,400
adventure,spiti,"Spiti Valley",Himachal Pradesh,4.8,700
adventure,rann-of-kutch,"Rann of Kutch",Gujarat,4.6,600
adventure,auli,"Auli",Uttarakhand,4.6,2000
adventure,kasol,"Kasol",Himachal Pradesh,4.5,900
adventure,bir-billing,"Bir Billing",Himachal Pradesh,4.6,1000
adventure,gulmarg,"Gulmarg",Jammu & Kashmir,4.7,2000
adventure,chembra-peak,"Chembra Peak",Kerala,4.9,2800
adventure,gurudongmar-lake,"Gurudongmar Lake",Sikkim,4.9,3500
adventure,hanle,"Hanle",Ladakh,4.9,2500
adventure,sandakphu,"Sandakphu",West Bengal,4.9,2200
adventure,zanskar-valley,"Zanskar Valley",Ladakh,4.9,3500
beach,goa,"Goa",Goa,4.5,400
beach,varkala,"Varkala",Kerala,4.5,500
beach,gokarna,"Gokarna",Karnataka,4.5,900
beach,alleppey,"Alleppey",Kerala,4.6,1500
beach,kovalam,"Kovalam",Kerala,4.4,1200
beach,kumarakom,"Kumarakom",Kerala,4.5,1800
beach,pondicherry,"Pondicherry",Puducherry,4.5,1200
beach,kanyakumari,"Kanyakumari",Tamil Nadu,4.4,900
beach,visakhapatnam,"Visakhapatnam",Andhra Pradesh,4.4,1200
beach,diu,"Diu",Daman & Diu,4.3,1200
beach,tarkarli,"Tarkarli",Maharashtra,4.4,1100
beach,digha,"Digha",West Bengal,4,900
beach,ramakrishna-mission-beach,"Ramakrishna Mission Beach",Andhra Pradesh,4.7,1200
beach,rushikonda-beach,"Rushikonda Beach",Andhra Pradesh,4.3,1200
beach,kondakarla-ava,"Kondakarla Āva",Andhra Pradesh,4.7,1200
beach,vodarevu-beach,"Vodarevu Beach",Andhra Pradesh,4.2,1200
beach,ramayapatnam-beach,"Ramayapatnam Beach",Andhra Pradesh,4.2,1200
beach,vagator-beach,"Vagator Beach",Goa,4.2,1200
beach,palolem-beach,"Palolem Beach",Goa,4.6,1200
beach,mandrem-beach,"Mandrem Beach",Goa,4.6,1200
beach,bambolim-beach,"Bambolim Beach",Goa,4.1,1200
